"","palavras","freq"
"jerry","jerry",17373
"george","george",11755
"elaine","elaine",9651
"kramer","kramer",8739
"know","know",3411
"yeah","yeah",3055
"well","well",3018
"don","don",2835
"can","can",2537
"like","like",2408
"just","just",2381
"get","get",2224
"hey","hey",1973
"right","right",1872
"got","got",1733
"think","think",1537
"see","see",1534
"back","back",1524
"one","one",1386
"going","going",1252
"now","now",1229
"look","look",1192
"really","really",1188
"gonna","gonna",1147
"want","want",1117
"good","good",1108
"newman","newman",1029
"come","come",1019
"man","man",1013
"apartment","apartment",1002
"guy","guy",991
"door","door",939
"tell","tell",883
"let","let",848
"something","something",827
"take","take",826
"yes","yes",804
"didn","didn",800
"car","car",789
"little","little",774
"time","time",761
"woman","woman",727
"morty","morty",724
"phone","phone",717
"mean","mean",699
"enters","enters",690
"say","say",686
"never","never",658
"looks","looks",637
"alright","alright",636
"thing","thing",624
"way","way",615
"susan","susan",609
"frank","frank",608
"people","people",608
"seinfeld","seinfeld",601
"two","two",566
"make","make",558
"around","around",544
"okay","okay",542
"helen","helen",541
"hello","hello",530
"gotta","gotta",527
"give","give",524
"said","said",516
"still","still",513
"new","new",511
"anything","anything",499
"maybe","maybe",498
"looking","looking",497
"walks","walks",492
"call","call",489
"huh","huh",489
"sorry","sorry",471
"away","away",468
"much","much",467
"scene","scene",465
"big","big",461
"day","day",457
"room","room",457
"need","need",455
"sure","sure",453
"talking","talking",449
"table","table",438
"even","even",434
"wait","wait",423
"doesn","doesn",420
"nice","nice",419
"put","put",416
"getting","getting",407
"will","will",406
"head","head",404
"peterman","peterman",404
"estelle","estelle",401
"nothing","nothing",398
"talk","talk",395
"costanza","costanza",390
"great","great",389
"night","night",388
"told","told",387
"episode","episode",385
"show","show",384
"office","office",382
"thought","thought",380
"comes","comes",379
"street","street",377
"another","another",376
"hands","hands",372
"hand","hand",369
"face","face",368
"ever","ever",363
"leaves","leaves",361
"work","work",358
"coffee","coffee",351
"listen","listen",345
"gets","gets",343
"happened","happened",341
"believe","believe",340
"sitting","sitting",338
"love","love",332
"god","god",330
"first","first",329
"date","date",328
"wanna","wanna",328
"mrs","mrs",327
"goes","goes",326
"friend","friend",324
"boy","boy",321
"hear","hear",312
"trying","trying",312
"next","next",311
"bad","bad",309
"takes","takes",309
"thank","thank",308
"whole","whole",306
"kind","kind",303
"lot","lot",302
"leo","leo",300
"leave","leave",296
"name","name",296
"long","long",293
"setting","setting",292
"doctor","doctor",291
"stop","stop",291
"michael","michael",289
"please","please",289
"better","better",288
"end","end",284
"last","last",281
"money","money",281
"couch","couch",279
"sits","sits",273
"place","place",272
"always","always",271
"three","three",270
"find","find",265
"life","life",265
"turns","turns",260
"behind","behind",259
"someone","someone",259
"guys","guys",256
"opens","opens",255
"ask","ask",253
"coming","coming",253
"sit","sit",251
"old","old",249
"excuse","excuse",248
"bathroom","bathroom",247
"home","home",245
"guess","guess",244
"isn","isn",244
"move","move",244
"seen","seen",244
"help","help",242
"starts","starts",242
"thanks","thanks",241
"went","went",240
"open","open",239
"jack","jack",238
"feel","feel",237
"fine","fine",237
"left","left",236
"wrong","wrong",236
"five","five",235
"years","years",235
"ends","ends",234
"keep","keep",233
"made","made",233
"things","things",231
"course","course",230
"everything","everything",229
"second","second",229
"walk","walk",229
"mind","mind",226
"benes","benes",225
"funny","funny",225
"watch","watch",225
"wouldn","wouldn",224
"heard","heard",223
"house","house",222
"later","later",219
"outside","outside",219
"front","front",218
"problem","problem",217
"father","father",216
"idea","idea",216
"cut","cut",215
"anyway","anyway",214
"meet","meet",213
"hell","hell",212
"today","today",212
"care","care",209
"remember","remember",205
"pick","pick",204
"ross","ross",204
"saw","saw",204
"taking","taking",203
"wearing","wearing",203
"every","every",202
"together","together",202
"walking","walking",202
"guest","guest",200
"job","job",200
"must","must",199
"couldn","couldn",197
"puts","puts",197
"written","written",197
"making","making",196
"shop","shop",196
"david","david",195
"makes","makes",195
"puddy","puddy",195
"baby","baby",194
"pretty","pretty",194
"parents","parents",193
"laughs","laughs",192
"uncle","uncle",192
"club","club",191
"won","won",191
"check","check",190
"pitt","pitt",190
"real","real",190
"building","building",189
"eat","eat",189
"jason","jason",189
"season","season",188
"broadcast","broadcast",187
"movie","movie",187
"window","window",187
"book","book",186
"side","side",185
"picks","picks",184
"tonight","tonight",184
"actually","actually",183
"cast","cast",182
"louis","louis",182
"gave","gave",181
"joe","joe",181
"monk","monk",181
"wanted","wanted",180
"stars","stars",178
"mother","mother",177
"number","number",177
"person","person",177
"alexander","alexander",176
"directed","directed",176
"eating","eating",176
"laughing","laughing",176
"mickey","mickey",176
"julia","julia",175
"might","might",175
"richards","richards",175
"lloyd","lloyd",174
"regulars","regulars",174
"shirt","shirt",174
"use","use",174
"called","called",173
"dreyfus","dreyfus",173
"mon","mon",173
"bag","bag",172
"business","business",172
"bye","bye",171
"done","done",171
"else","else",171
"restaurant","restaurant",171
"tim","tim",171
"voice","voice",171
"may","may",170
"took","took",170
"try","try",167
"party","party",166
"says","says",165
"minutes","minutes",164
"story","story",164
